,Symptom
70,Agitation and Headache
71,Agitation and Headache (worst ever)
72,Agitation and Nosebleed
73,Agitation and Restless (tossing and turning) sleep
74,"Agitation, Anxiety and Numbness or tingling"
75,"Agitation, Anxiety, Apathy and Muscle cramps or spasms (painful)"
76,"Agitation, Anxiety, Bad breath and Bad taste in mouth"
77,"Agitation, Anxiety, Belching and Bloating or fullness"
78,"Agitation, Anxiety, Binge drinking (alcohol) and Body aches or pains"
79,"Agitation, Anxiety, Blackouts (memory time loss) and Bruising or discoloration"
80,"Agitation, Anxiety, Blackouts (memory time loss) and Compulsive behavior"
81,"Agitation, Anxiety, Blackouts (memory time loss) and Delusions"
82,"Agitation, Anxiety, Blank stare (Eyes) and Blank stare (Face)"
83,"Agitation, Anxiety, Blank stare and Blinking eyes"
84,"Agitation, Anxiety, Bleeding in eye and Compulsive behavior"
85,"Agitation, Anxiety, Blindness and Blurred vision"
86,"Agitation, Anxiety, Bloating or fullness and Fatigue"
87,"Agitation, Anxiety, Blood or red colored urine and Broken bone (single fracture)"
88,"Agitation, Anxiety, Blurred vision and Change in vision"
89,"Agitation, Anxiety, Brittle hair and Change in hair texture"
90,"Agitation, Anxiety, Bulging veins and Cold hands"
91,"Agitation, Anxiety, Coffee grounds colored vomit and Confusion"
92,"Agitation, Anxiety, Compulsive behavior and Cough"
93,"Agitation, Anxiety, Compulsive behavior and Emotional detachment"
94,"Agitation, Anxiety, Compulsive behavior and Inappropriate behavior"
95,"Agitation, Anxiety, Confusion and Delusions"
96,"Agitation, Anxiety, Confusion and Frightening thoughts"
97,"Agitation, Anxiety, Constipation and Cracks at corner of mouth"
98,"Agitation, Anxiety, Decreased urination and Difficulty falling asleep"
99,"Agitation, Anxiety, Depressed mood and Double vision (without one eye covered)"
100,"Agitation, Anxiety, Depressed mood and Irregular menstrual periods"
101,"Agitation, Anxiety, Dislikes change in daily routine and Fearful"
102,"Agitation, Anxiety, Excessive sweating and Nervousness"
103,"Agitation, Anxiety, Headache and Mood swings"
104,"Agitation, Apathy, Bleeding and Broken bone (single fracture)"
105,"Agitation, Apathy, Emotional detachment and Inappropriate behavior"
106,"Agitation, Binge drinking (alcohol), Binge eating and Compulsive behavior"
107,"Agitation, Blurred vision, Cloudy vision and Confusion"
108,"Agitation, Body aches or pains, Bruising or discoloration and Dry skin"
109,"Agitation, Change in vision, Cloudy vision and Compulsive behavior"
110,"Agitation, Cold hands, Craving alcohol and Difficulty falling asleep"
111,"Agitation, Compulsive behavior, Depressed mood and Diarrhea"
112,"Agitation, Compulsive behavior, Fits of rage and Impulsive behavior"
113,"Agitation, Confusion, Fits of rage and Forgetfulness"
114,"Agitation, Depressed mood, Difficulty concentrating and Easily distracted"
115,"Agitation, Drowsiness, Forgetfulness and Mood swings"
116,"Agitation, Easily distracted, Hyperactive behavior and Impaired social skills"
117,"Agitation, Headache, Nausea or vomiting and Pain or discomfort"
118,Agoraphobia Symptoms and Signs
119,Al-An
120,Alcohol Poisoning Symptoms and Signs
121,Alcohol Withdrawal Symptoms and Signs
122,Alkaptonuria Symptoms and Signs
123,Allergy
124,Almond odor breath
125,Almond odor breath and Metallic taste
126,Almond odor breath and Strange smell or taste
127,"Almond odor breath, Difficulty talking, Fruity odor on breath and Jaw locking"
128,"Almond odor breath, Fruity odor breath, Metallic taste, Strange smell or taste"
129,Alopecia Areata Symptoms and Signs
130,Alpha Thalassemia Symptoms and Signs
131,Alpha-1 Antitrypsin Deficiency Symptoms and Signs
132,Alport Syndrome Symptoms and Signs
133,Altered Mental Status
134,Alveolar Osteitis (Dry Socket Symptoms and Signs)
135,Alzheimer's Disease Symptoms and Signs
136,Amblyopia (Lazy Eye) Symptoms and Signs
137,Amebiasis Symptoms and Signs
138,Amenorrhea Symptoms and Signs
139,Amyloidosis Symptoms and Signs
140,Anal Cancer Symptoms and Signs
141,Anal Itching
142,Anaphylaxis Symptoms and Signs
143,Anaplasmosis Symptoms and Signs
144,Anemia
145,Anencephaly Symptoms and Signs
146,Angina Symptoms and Signs
147,Angiomyolipoma Symptoms and Signs
148,Angle-Closure Glaucoma (Glaucoma Symptoms and Signs)
149,Angular Cheilitis Symptoms and Signs
150,Ankle Pain
151,Ankylosing Spondylitis Symptoms and Signs
152,Anorexia Nervosa Symptoms and Signs
153,Anthrax Symptoms and Signs
154,Antiphospholipid Syndrome Symptoms and Signs
155,Antisocial Personality Disorder Symptoms and Signs
156,Anxiety
157,Anxiety and Broken bone (single fracture)
158,Anxiety and Enlarged or swollen glands
159,Anxiety and Fever
160,Anxiety and Flashbacks
161,Anxiety and Floating spots or strings in vision
162,Anxiety and Hallucinations
163,Anxiety and Hearing loss
164,Anxiety and Impulsive behavior
165,Anxiety and Joint pain
166,Anxiety and Lightheadedness
167,Anxiety and Missed or late menstrual period
168,Anxiety and Muscle twitching (painless)
169,Anxiety and Nasal congestion
170,Anxiety and Nosebleed
171,Anxiety and Personality changes
172,Anxiety and Poor concentration
173,Anxiety and Restless (tossing and turning) sleep
174,Anxiety and Ringing in ears
175,Anxiety and Runny nose
176,Anxiety and Seizures (uncontrollable jerking of limbs)
177,Anxiety and Sensitive to light
178,Anxiety and Shortness of breath
179,Anxiety and Skin rash
180,Anxiety and Sore throat
181,Anxiety and Spinning sensation
182,Anxiety and Swelling
183,Anxiety and Unusual behavior
184,"Anxiety, Apathy, Blank stare (Eyes) and Blank stare (Face)"
185,"Anxiety, Apathy, Blank stare and Blurred vision"
186,"Anxiety, Apathy, Body aches or pains and Decreased appetite"
187,"Anxiety, Apathy, Bruising or discoloration and Depressed mood"
188,"Anxiety, Apathy, Bulging veins (Arm) and Bulging veins (Leg)"
189,"Anxiety, Apathy, Change in hair texture and Dry skin"
190,"Anxiety, Apathy, Feeling of being detached from reality and Feeling smothered"
191,"Anxiety, Bad breath, Bad taste in mouth and Bald spots (hair)"
192,"Anxiety, Bad breath, Bad taste in mouth and Blackouts (memory time loss)"
193,"Anxiety, Bad breath, Choking and Coated or furry tongue"
194,"Anxiety, Bad breath, Cloudy urine with strong odor and Coated or furry tongue"
195,"Anxiety, Bad taste in mouth, Belching and Bloating or fullness"
196,"Anxiety, Bad taste in mouth, Blank stare and Blinking eyes"
197,"Anxiety, Bad taste in mouth, Bleeding gums and Bloating or fullness"
198,"Anxiety, Bad taste in mouth, Difficulty swallowing and Dry eyes"
199,"Anxiety, Bald spots (hair), Binge drinking (alcohol) and Binge eating"
200,"Anxiety, Belching, Bleeding gums and Change in bowel habits"
201,"Anxiety, Belching, Bloating or fullness and Cloudy urine with strong odor"
202,"Anxiety, Belching, Bloating or fullness and Depressed mood"
203,"Anxiety, Binge drinking (alcohol), Blurred vision and Chills"
204,"Anxiety, Black (tar) colored stools, Bleeding and Bloating or fullness"
205,"Anxiety, Black (tar) colored stools, Bleeding and Blood in toilet"
206,"Anxiety, Blackouts (memory time loss), Blank stare and Cloudy vision"
207,"Anxiety, Blackouts (memory time loss), Blue colored lips and Body aches or pains"
208,"Anxiety, Blackouts (memory time loss), Confusion and Depressed mood"
209,"Anxiety, Blackouts (memory time loss), Fits of rage and Forgetfulness"
210,"Anxiety, Blank stare (Eyes), Blank stare (Face) and Blurred vision"
211,"Anxiety, Blank stare, Blurred vision and Confusion"
212,"Anxiety, Blank stare, Blurred vision and Headache"
213,"Anxiety, Blank stare, Confusion and Depressed mood"
214,"Anxiety, Bleeding gums, Blind spot in vision and Blurred vision"
215,"Anxiety, Bleeding gums, Bloating or fullness and Blue colored skin"
216,"Anxiety, Bleeding gums, Depressed mood and Difficulty falling asleep"
217,"Anxiety, Blind spot in vision, Blue colored skin and Blurred vision"
218,"Anxiety, Blind spot in vision, Change in vision and Decreased night vision"
219,"Anxiety, Bloating or fullness and Nausea or vomiting"
220,"Anxiety, Bloating or fullness, Blood on toilet tissue and Brittle hair"
221,"Anxiety, Bloating or fullness, Confusion and Distended stomach"
222,"Anxiety, Bloating or fullness, Constipation and Depressed mood"
223,"Anxiety, Bloating or fullness, Difficulty falling asleep and Difficulty sleeping"
224,"Anxiety, Bloating or fullness, Early morning waking and Frequent bowel movements"
225,"Anxiety, Bloating or fullness, Increased passing gas and Pain or discomfort"
226,"Anxiety, Blood in toilet, Blood on stool surface and Blood on toilet tissue"
227,"Anxiety, Blood on stool surface, Blood on toilet tissue and Depressed mood"
228,"Anxiety, Bloody or red colored vomit, Color change and Difficulty finding words"
229,"Anxiety, Blurred vision, Change in vision and Confusion"
230,"Anxiety, Blurred vision, Chills and Confusion"
231,"Anxiety, Blurred vision, Cloudy vision and Depressed mood"
232,"Anxiety, Blurred vision, Difficulty concentrating and Eye irritation"
233,"Anxiety, Blurred vision, Dizziness and Drowsiness"
234,"Anxiety, Blurred vision, Enlarged or swollen glands and Frequent squinting"
235,"Anxiety, Blurred vision, Frequent squinting and Headache"
236,"Anxiety, Body aches or pains, Bulging veins and Change in bowel habits"
237,"Anxiety, Body aches or pains, Chills and Cold hands"
238,"Anxiety, Body aches or pains, Chills and Depressed mood"
239,"Anxiety, Body aches or pains, Easy bruising and Fatigue"
240,"Anxiety, Bruising or discoloration, Cold feet and Cold hands"
241,"Anxiety, Chills, Dizziness and Excessive crying"
242,"Anxiety, Chills, Excessive sweating and Fatigue"
243,"Anxiety, Choking on food, Cough and Depressed mood"
244,"Anxiety, Cloudy urine with strong odor, Confusion and Difficulty sleeping"
245,"Anxiety, Cloudy vision, Confusion and Discharge or mucus in eyes"
246,"Anxiety, Coarse hair, Depressed mood and Dry skin"
247,"Anxiety, Cold feet, Cold hands and Difficulty concentrating"
248,"Anxiety, Cold feet, Excessive sweating and Flushed skin"
249,"Anxiety, Cold hands, Difficulty finding words and Flaking skin"
250,"Anxiety, Compulsive behavior, Craving to eat ice, dirt or paper and Delusions"
251,"Anxiety, Confusion, Crying during sleep and Delusions"
252,"Anxiety, Confusion, Crying during sleep and Excessive crying"
253,"Anxiety, Confusion, Depressed mood and Numbness or tingling"
254,"Anxiety, Confusion, Difficulty concentrating and Feeling detached from reality"
255,"Anxiety, Confusion, Difficulty sleeping and Early morning waking"
256,"Anxiety, Confusion, Drooping eyelid and Drooping of one side of face"
257,"Anxiety, Confusion, Forgetfulness and Frightening thoughts"
258,"Anxiety, Constipation, Foul smelling stools and Frightening thoughts"
259,"Anxiety, Cough, Depressed mood and Disorientation"
260,"Anxiety, Cough, Dizziness and Fainting"
261,"Anxiety, Craving to eat ice and dirt or paper"
262,"Anxiety, Crying during sleep, Depressed mood and Difficult to wake up"
263,"Anxiety, Decreased appetite, Diarrhea and Difficulty sleeping"
264,"Anxiety, Delusions, Fever and Frightening dreams"
265,"Anxiety, Depressed mood and Muscle cramps or spasms (painful)"
266,"Anxiety, Depressed mood, Emotional detachment and Fits of rage"
267,"Anxiety, Depressed mood, Fits of rage and Forgetfulness"
268,"Anxiety, Depressed mood, Flashbacks and Hallucinations"
269,"Anxiety, Depressed mood, Frequent urge to urinate and Frequent urination"
270,"Anxiety, Depressed mood, Frightening thoughts and Nasal congestion"
271,"Anxiety, Depressed mood, Gritty or scratchy eyes and Itching or burning"
272,"Anxiety, Depressed mood, Headache and Mood swings"
273,"Anxiety, Depressed mood, Increased passing gas and Lack of emotion"
274,"Anxiety, Depressed mood, Joint pain (Wrist) and Joint pain (Knee (patella))"
275,"Anxiety, Difficulty concentrating and Slow thinking"
276,"Anxiety, Difficulty falling asleep, Fatigue, Rapid heart rate"
277,"Anxiety, Difficulty finding words, Emotional detachment and Flashbacks"
278,"Anxiety, Difficulty finding words, Forgetfulness and Headache (worst ever)"
279,"Anxiety, Difficulty sleeping, Enlarged (dilated) pupils and Fainting"
280,"Anxiety, Difficulty staying awake during day, Drowsiness and Frightening dreams"
281,"Anxiety, Difficulty swallowing, Enlarged or swollen glands and Headache"
282,"Anxiety, Dizziness, Ear ache and Feeling smothered"
283,"Anxiety, Drinking excessive fluids, Emotional detachment and Hearing loss"
284,"Anxiety, Drinking excessive fluids, Emotional detachment and Increased thirst"
285,"Anxiety, Drowsiness, Headache and Jerking eye movements"
286,"Anxiety, Drowsiness, Hearing loss and Hoarse voice"
287,"Anxiety, Dry eyes, Headache (worst ever) and Pain or discomfort"
288,"Anxiety, Ear ache, Easily distracted and Forgetfulness"
289,"Anxiety, Early morning waking, Fatigue and Fits of rage"
290,"Anxiety, Early morning waking, Headache and Heartburn"
291,"Anxiety, Easy bruising, Fatigue and Jumpiness or easily startled"
292,"Anxiety, Emotional detachment, Lack of emotion and Lack of motivation"
293,"Anxiety, Erectile dysfunction, Frequent urge to urinate and Frequent urination"
294,"Anxiety, Fatigue, Headache and Irregular menstrual periods"
295,"Anxiety, Fearful, Hunched or stooped posture and Nervousness"
296,"Anxiety, Fever and Pain or discomfort"
297,"Anxiety, Headache and Sense of impending doom"
298,"Anxiety, Headache, Itching or burning and Lack of emotion"
299,"Anxiety, Headache, Memory problems and Poor concentration"
300,"Anxiety, Involuntary movements"
301,"Anxiety, Restless (tossing, turning) sleep and Sadness"
302,Ao-Az
303,Aortic Dissection Symptoms and Signs
304,Aortic Stenosis Symptoms and Signs
305,Aortic Valve Stenosis Symptoms and Signs
306,Apathy
307,Apathy and Mood swings
308,Apathy and Muscle cramps or spasms (painful)
309,"Apathy, Bad taste in mouth, Body aches or pains and Chills"
310,"Apathy, Bad taste in mouth, Chills and Cloudy urine with strong odor"
311,"Apathy, Bad taste in mouth, Chills and Cold feet"
312,"Apathy, Blackouts (memory time loss), Blind spot in vision and Blurred vision"
313,"Apathy, Bloating or fullness, Distended stomach and Ear ache"
314,"Apathy, Depressed mood, Emotional detachment and Fits of rage"
315,"Apathy, Difficult to wake from sleep, Emotional detachment and Lack of emotion"
316,"Apathy, Disorientation, Emotional detachment and Frightening dreams"
317,"Apathy, Emotional detachment and Lack of emotion"
318,Aphasia (Loss of Speech)
319,Aphasia Symptoms and Signs
320,Appendicitis Symptoms and Signs
321,Arachnoiditis Symptoms and Signs
322,ARDS Symptoms and Signs
323,Arm Pain
324,Arm pain and Joint pain
325,"Arm pain, Fatigue and Weakness"
326,"Arm pain, Inability to move, Numbness or tingling, numbness on one side of body"
327,"Arm pain, Joint pain and Lump or bulge"
328,"Arm pain, Pain and Unable to move arm"
329,Arrhythmia Symptoms and Signs
330,Arsenic Poisoning Symptoms and Signs
331,Arteriovenous Malformation Symptoms and Signs
332,Arthritis Symptoms and Signs
333,Ascariasis Symptoms and Signs
334,Ascites Symptoms and Signs
335,Aseptic Necrosis Symptoms and Signs
336,Asperger's Syndrome Symptoms and Signs
337,Asthenopia (Eyestrain Symptoms and Signs)
338,Asthma Symptoms and Signs
339,Astigmatism Symptoms and Signs
340,Ataxia Symptoms and Signs
341,Athlete's Foot Symptoms and Signs
342,Atopic Dermatitis Symptoms and Signs
343,Atrial fibrillation (AFib) Symptoms and Signs
344,Atrial Flutter Symptoms and Signs
345,Attention Deficit (Inattention)
346,Auditory Processing Disorder Symptoms and Signs
347,Autism Symptoms and Signs
348,Avian Influenza (Bird Flu (Avian Influenza) Symptoms and Signs)
349,Ba-Bd
350,Be-Bh
351,Bi-Bk
352,Bl-Bn
353,Bo-Bq
354,Br-Bt
355,Bu-Bz
356,Ba-Bd
357,Babesiosis Symptoms and Signs
358,Back Pain
359,Bacterial Vaginosis Symptoms and Signs
360,Bad Breath
361,Bad breath and Belching
362,Bad breath and Ear ache
363,Bad breath and Fruity odor on breath
364,Bad breath and Grinding teeth
365,Bad breath and Increased thirst
366,Bad breath and Metallic taste in mouth
367,Bad breath and Nausea or vomiting
368,Bad breath and Sore throat
369,Bad breath and Sore tongue
370,Bad breath and Swollen tonsils
371,Bad breath and White patches on tongue
372,"Bad breath, Bad taste in mouth and Cough"
373,"Bad breath, Bad taste in mouth and Difficulty swallowing"
374,"Bad breath, Bad taste in mouth and Hoarse voice"
375,"Bad breath, Bad taste in mouth and Numbness or tingling"
376,"Bad breath, Bad taste in mouth and Sore throat"
377,"Bad breath, Bad taste in mouth, Belching and Bloating or fullness"
378,"Bad breath, Bad taste in mouth, Belching and Cloudy urine with strong odor"
379,"Bad breath, Bad taste in mouth, Belching and Diarrhea"
380,"Bad breath, Bad taste in mouth, Black (tar) colored stools and Bleeding"
381,"Bad breath, Bad taste in mouth, Blank stare and Blinking eyes"
382,"Bad breath, Bad taste in mouth, Bleeding gums and Cloudy urine with strong odor"
383,"Bad breath, Bad taste in mouth, Bloating or fullness and Distended stomach"
384,"Bad breath, Bad taste in mouth, Bloating or fullness and Joint pain"
385,"Bad breath, Bad taste in mouth, Chills and Cold feet"
386,"Bad breath, Bad taste in mouth, Constipation and Distended stomach"
387,"Bad breath, Bad taste in mouth, Decreased appetite and Depressed mood"
388,"Bad breath, Bad taste in mouth, Difficulty swallowing and Ear ache"
389,"Bad breath, Bad taste in mouth, Dizziness and Headache"
390,"Bad breath, Bad taste in mouth, Drainage or pus and Fruity odor on breath"
391,"Bad breath, Bad taste in mouth, Excessive sweating and Fatigue"
392,"Bad breath, Bad taste in mouth, Frequent urge to urinate and Frequent urination"
393,"Bad breath, Bad taste in mouth, Nasal congestion and Pain or discomfort"
394,"Bad breath, Bad taste in mouth, Spots on tonsils and Strange smell or taste"
395,"Bad breath, Bad taste in mouth, Swollen tonsils and Thick saliva"
396,"Bad breath, Bald spots (hair), Bloating or fullness and Body aches or pains"
397,"Bad breath, Belching, Cloudy urine with strong odor and Crying during sleep"
398,"Bad breath, Bitter almond odor on breath, Dry mouth and Fruity odor on breath"
399,"Bad breath, Blackouts (memory time loss), Delusions and Depressed mood"
400,"Bad breath, Bleeding gums, Drooling and Snoring"
401,"Bad breath, Bleeding gums, Gum sores and Pain or discomfort"
402,"Bad breath, Bleeding, Bleeding gums and Coated or furry tongue"
403,"Bad breath, Blurred vision, Coated or furry tongue and Decreased taste"
404,"Bad breath, Blurred vision, Cough and Damaged teeth enamel"
405,"Bad breath, Body aches or pains, Chills and Clicking or popping sound from jaw"
406,"Bad breath, Change in vision, Depressed mood and Dry mouth"
407,"Bad breath, Clicking or popping sound from jaw, Dry mouth and Grooved tongue"
408,"Bad breath, Coated or furry tongue, Drooling and Excessive mouth watering"
409,"Bad breath, Confusion, Depressed mood and Difficulty concentrating"
410,"Bad breath, Cough, Lump or bulge and Mouth sores"
411,"Bad breath, Decreased appetite, Difficulty sleeping and Drooling"
412,"Bad breath, Decreased appetite, Drooling and Fever"
413,"Bad breath, Difficulty breathing through nose, Headache and Nasal congestion"
414,"Bad breath, Drooling and Excessive mouth watering"
415,"Bad breath, Drooling, Gum sores and Mouth sores"
416,"Bad breath, Dry mouth and Metallic taste in mouth"
417,"Bad breath, Dry mouth, Grooved tongue and Pain or discomfort"
418,"Bad breath, Enlarged glands and Pain"
419,"Bad breath, Gum sores, Mouth sores and Numbness or tingling"
420,"Bad breath, Hot and dry skin"
421,"Bad breath, Spots on tonsils and White patches inside mouth"
422,Bad taste in mouth and Cough
423,Bad taste in mouth and Diarrhea
424,Bad taste in mouth and Difficulty sleeping
425,Bad taste in mouth and Dry mouth
426,Bad taste in mouth and Enlarged glands
427,Bad taste in mouth and Excessive mouth watering
428,Bad taste in mouth and Fatigue
429,Bad taste in mouth and Fever
430,Bad taste in mouth and Frequent urination
431,Bad taste in mouth and Fruity odor on breath
432,Bad taste in mouth and Headache
433,Bad taste in mouth and Increased thirst
434,Bad taste in mouth and Mouth sores
435,Bad taste in mouth and Muscle twitching (painless)
436,Bad taste in mouth and Nausea or vomiting
437,Bad taste in mouth and Pain
438,Bad taste in mouth and Smooth tongue
439,Bad taste in mouth and Sore throat
440,Bad taste in mouth and Sore tongue
441,Bad taste in mouth and Strange smell or taste
442,Bad taste in mouth and Swollen tongue
443,Bad taste in mouth and Thick saliva
444,Bad taste in mouth and Upset stomach
445,Bad taste in mouth and White patches on tongue
446,"Bad taste in mouth, Almond odor breath, Fruity odor on breath, Metallic taste"
447,"Bad taste in mouth, Almond odor breath, Hoarse voice and Increased thirst"
448,"Bad taste in mouth, Almond odor breath, Metallic taste, Taste of acid in mouth"
449,"Bad taste in mouth, Belching and Bloating"
450,"Bad taste in mouth, Belching, Bloating and Constipation"
451,"Bad taste in mouth, Belching, Bloating and Diarrhea"
452,"Bad taste in mouth, Belching, Bloating and Upset stomach"
453,"Bad taste in mouth, Belching, Bloating or fullness and Heartburn"
454,"Bad taste in mouth, Belching, Bloating or fullness and Nausea or vomiting"
455,"Bad taste in mouth, Belching, Diarrhea and Foul smelling stools"
456,"Bad taste in mouth, Belching, Diarrhea and Increased passing gas"
457,"Bad taste in mouth, Belching, Metallic taste and Nausea or vomiting"
458,"Bad taste in mouth, Belching, Pain or discomfort and Taste of acid in mouth"
459,"Bad taste in mouth, Binge drinking, Coated tongue, Easy bruising"
460,"Bad taste in mouth, Bleeding gums and Dizziness"
461,"Bad taste in mouth, Bleeding gums, Dry eyes and Dry mouth"
462,"Bad taste in mouth, Bleeding gums, Pain or discomfort and Red gums"
463,"Bad taste in mouth, Bleeding in eye, Bulging eyes and Change in vision"
464,"Bad taste in mouth, Bleeding, Bleeding gums and Bloating or fullness"
465,"Bad taste in mouth, Bloating and Distended stomach"
466,"Bad taste in mouth, Bloating, Metallic taste and Nausea or vomiting"
467,"Bad taste in mouth, Blurred vision, Dizziness and Feeling faint"
468,"Bad taste in mouth, Body aches or pains, Chills and Cough"
469,"Bad taste in mouth, Body aches or pains, Decreased appetite and Dry mouth"
470,"Bad taste in mouth, Bowel habit change, Diarrhea and Foul smelling stools"
471,"Bad taste in mouth, Change in stools, Dry mouth and Pain or discomfort"
472,"Bad taste in mouth, Chills, Decreased appetite and Diarrhea"
473,"Bad taste in mouth, Chills, Decreased appetite and Fever"
474,"Bad taste in mouth, Choking, Choking on food and Difficulty swallowing"
475,"Bad taste in mouth, Choking, Coated or furry tongue and Difficulty swallowing"
476,"Bad taste in mouth, Coated or furry tongue, Fatigue and Grooved tongue"
477,"Bad taste in mouth, Coated or furry tongue, Hair loss and Headache"
478,"Bad taste in mouth, Coated tongue, Decreased taste and Dry mouth"
479,"Bad taste in mouth, Coated tongue, Dry mouth and Increased thirst"
480,"Bad taste in mouth, Coated tongue, Dry mouth and Metallic taste"
481,"Bad taste in mouth, Coated tongue, Metallic taste and White patches on tongue"
482,"Bad taste in mouth, Confusion, Easily distracted and Forgetfulness"
483,"Bad taste in mouth, Cough and Strange smell or taste"
484,"Bad taste in mouth, Cough, Metallic taste and Noisy breathing"
485,"Bad taste in mouth, Craving alcohol, Craving ice and Dizziness"
486,"Bad taste in mouth, Decreased appetite, Decreased taste and Mouth sores"
487,"Bad taste in mouth, Decreased appetite, Diarrhea and Nausea or vomiting"
488,"Bad taste in mouth, Decreased appetite, Dry mouth and Ear ache"
489,"Bad taste in mouth, Decreased appetite, Dry mouth and Grooved tongue"
490,"Bad taste in mouth, Decreased taste and Difficulty swallowing"
491,"Bad taste in mouth, Decreased taste and Dry mouth"
492,"Bad taste in mouth, Diarrhea, Dry mouth and Gagging"
493,"Bad taste in mouth, Diarrhea, Nausea or vomiting and Upset stomach"
494,"Bad taste in mouth, Difficulty concentrating, Drowsiness and Dry mouth"
495,"Bad taste in mouth, Difficulty swallowing and Metallic taste in mouth"
496,"Bad taste in mouth, Difficulty swallowing, Drainage or pus and Dry mouth"
497,"Bad taste in mouth, Difficulty swallowing, Enlarged glands and Sore throat"
498,"Bad taste in mouth, Difficulty swallowing, Post nasal drip and Snoring"
499,"Bad taste in mouth, Dizziness and Metallic taste"
500,"Bad taste in mouth, Dizziness, Dry mouth and Feeling faint"
501,"Bad taste in mouth, Dizziness, Excessive crying and Fatigue"
502,"Bad taste in mouth, Dizziness, Headache and Lightheadedness"
503,"Bad taste in mouth, Dizziness, Headache and Nausea or vomiting"
504,"Bad taste in mouth, Dizziness, Metallic taste in mouth and Pain or discomfort"
505,"Bad taste in mouth, Drainage or pus, Enlarged glands, Food getting stuck"
506,"Bad taste in mouth, Drainage or pus, Grinding teeth and Strange smell or taste"
507,"Bad taste in mouth, Drainage or pus, Metallic taste and Nasal congestion"
508,"Bad taste in mouth, Drinking excessive fluids, Dry mouth, Fruity odor on breath"
509,"Bad taste in mouth, Dry mouth and Fever"
510,"Bad taste in mouth, Dry mouth and Metallic taste"
511,"Bad taste in mouth, Dry mouth, Excessive sweating and Headache"
